x,y,theta
10.71708511,4.725387265,-2.849914308
9.720826959,5.261549276,-1.279117981
9.184664949,4.265291128,0.291678346
10.1809231,3.729129117,1.862474672
4.325569854,1.331593939,7.538481058
5.292108334,2.199524447,9.63287616
4.057189226,2.602606071,5.444085955
4.809914833,6.576579995,5.26236242
5.332579419,5.724041591,8.403955074
0.837231134,3.424202334,6.747690197
1.731274608,3.87218254,9.889282851
9.304711095,10.920405,9.316993811
8.310514185,11.02798058,12.45858646
3.443789755,9.513099915,1.016483668
8.708065733,1.048082746,0.5489544
